model_pattern,provider,model_family,input_cost_per_mtok,output_cost_per_mtok,cache_read_cost_per_mtok,cache_creation_cost_per_mtok,notes
claude-fable-5*,anthropic,fable,10.00,50.00,1.00,12.50,1M context at standard pricing; pattern covers [1m] and date suffixes
claude-mythos-5*,anthropic,fable,10.00,50.00,1.00,12.50,Glasswing; same pricing as Fable 5
claude-mythos-preview*,anthropic,fable,10.00,50.00,1.00,12.50,Glasswing preview predecessor
claude-opus-4-8*,anthropic,opus,5.00,25.00,0.50,6.25,
claude-opus-4-7*,anthropic,opus,5.00,25.00,0.50,6.25,
claude-opus-4-6*,anthropic,opus,5.00,25.00,0.50,6.25,
claude-opus-4-5*,anthropic,opus,5.00,25.00,0.50,6.25,
claude-opus-4-1*,anthropic,opus,15.00,75.00,1.50,18.75,deprecated
claude-opus-4*,anthropic,opus,15.00,75.00,1.50,18.75,legacy Opus 4 date suffixes; keep below all claude-opus-4-x rows
claude-sonnet-4-6*,anthropic,sonnet,3.00,15.00,0.30,3.75,
claude-sonnet-4-5*,anthropic,sonnet,3.00,15.00,0.30,3.75,
claude-sonnet-4*,anthropic,sonnet,3.00,15.00,0.30,3.75,legacy Sonnet 4 date suffixes; keep below all claude-sonnet-4-x rows
claude-haiku-4-5*,anthropic,haiku,1.00,5.00,0.10,1.25,
claude-3-7-sonnet*,anthropic,sonnet,3.00,15.00,0.30,3.75,retired
claude-3-5-sonnet*,anthropic,sonnet,3.00,15.00,0.30,3.75,retired
claude-3-5-haiku*,anthropic,haiku,0.80,4.00,0.08,1.00,retired except Bedrock/Vertex
opus,anthropic,opus,5.00,25.00,0.50,6.25,Claude Code CLI alias seen as literal message.model value
sonnet,anthropic,sonnet,3.00,15.00,0.30,3.75,Claude Code CLI alias seen as literal message.model value
haiku,anthropic,haiku,1.00,5.00,0.10,1.25,Claude Code CLI alias seen as literal message.model value
<synthetic>,anthropic,synthetic,0,0,0,0,Claude Code synthetic messages incur no API cost
gemini-3.1-flash-lite*,google,gemini-flash,0.25,1.50,0.025,0,
gemini-3.1-pro*,google,gemini-pro,2.00,12.00,0.20,0,base tier below 200K input
gemini-3.5-flash*,google,gemini-flash,1.50,9.00,0.15,0,cache storage billed hourly not per-token
gemini-3-flash*,google,gemini-flash,0.50,3.00,0.05,0,
gemini-2.5-pro*,google,gemini-pro,1.25,10.00,0.3125,0,legacy
gpt-4o-mini*,openai,gpt4o-mini,0.15,0.60,0.075,0,keep above gpt-4o* row
gpt-4o*,openai,gpt4o,2.50,10.00,1.25,0,
*,unknown,unknown,0,0,0,0,catch-all: events are never dropped; surfaced via pricing_known=false
